10,3
10,4
9,4
8,5
9,6
9,5
8,6
11,5
10,5
11,6
11,4
12,3
7,8
8,7
12,6
5,6
6,5
11,9
11,7
10,8
13,11
14,10
10,10
13,13
5,7
14,13
14,12
15,13
12,13
6,6
7,9
4,6
3,6
7,10
11,12
12,11
13,12
12,12
11,14
10,15
15,10
14,11
13,14
10,11
14,7
13,6
16,13
14,14
15,15
14,15
16,12
14,5
15,4
15,7
13,4
14,4
4,4
12,9
8,11
8,13
7,14
5,11
9,14
10,14
5,14
6,14
6,13
7,12
5,12
8,15
11,15
11,13
8,16
3,10
4,9
4,10
3,11
6,10
5,10
2,7
15,5
2,8
3,9
2,9
2,6
3,5
5,15
14,16
14,17
10,12
10,13
12,15
2,10
5,16
3,12
6,9
14,2
4,12
3,13
4,13
13,9
4,14
4,11
3,15
4,16
15,3
1,11
4,8
1,14
2,13
16,11
13,8
16,10
16,9
16,14
