1,10
4,10
5,11
4,11
4,12
6,10
5,10
5,9
6,8
4,8
3,7
4,7
4,9
8,12
7,11
9,11
10,10
7,12
9,12
5,13
11,10
12,10
6,13
12,9
12,11
10,9
13,9
11,8
12,7
10,7
13,10
10,13
13,11
13,12
9,6
8,9
8,11
13,8
9,9
11,11
9,8
9,7
10,6
8,6
8,7
7,8
7,5
5,5
5,6
15,8
14,8
4,4
14,10
15,11
15,9
16,8
11,13
12,12
14,12
12,6
3,3
14,7
16,5
3,6
16,9
14,9
14,14
14,13
4,5
11,4
6,15
14,4
13,5
12,5
13,6
13,4
12,4
14,3
11,6
14,5
14,6
11,3
12,3
14,2
14,1
10,15
7,14
8,13
9,14
6,14
9,16
8,15
5,15
8,16
8,14
9,17
7,15
9,13
3,15
4,15
10,14
11,14
2,3
3,4
1,4
12,15
13,16
12,2
15,2
9,5
10,4
4,3
11,1
13,15
11,15
5,2
2,5
2,4
6,4
10,2
9,2
2,14
3,14
2,12
2,11
3,12
16,14
15,14
15,12
16,15
17,16
17,15
14,15
8,3
1,13
1,12
4,1
3,2
14,16
15,16
6,2
6,1
7,0
18,12
14,18
14,17
13,17
12,16
12,13
17,14
13,18
18,13
