13,2
13,4
12,5
10,5
10,4
12,6
14,4
14,6
13,6
11,8
15,8
14,7
14,9
13,10
12,9
11,9
11,10
10,8
12,8
9,7
8,6
13,11
12,10
12,11
11,7
9,5
9,4
8,4
10,11
9,12
13,9
14,10
15,9
16,9
15,10
15,7
10,12
11,11
10,13
10,14
11,13
12,14
13,13
12,13
12,15
9,14
11,14
15,12
7,6
6,7
6,6
5,6
4,5
5,5
5,4
6,3
16,7
4,3
7,3
7,9
9,13
7,13
8,8
8,7
7,7
10,10
7,4
7,5
8,5
11,2
6,14
13,16
5,9
4,10
6,12
6,11
4,11
7,12
8,13
7,15
7,11
4,14
7,16
4,8
16,11
17,12
3,8
5,12
3,14
3,13
14,15
11,15
5,15
5,16
3,4
3,6
2,4
4,4
12,3
11,3
11,1
13,5
12,4
12,2
17,9
2,3
3,3
16,15
14,14
14,16
16,16
15,15
17,14
4,2
15,14
16,14
13,17
4,13
8,9
8,12
9,11
2,13
1,13
6,13
10,9
2,11
5,14
2,10
2,12
4,16
4,15
17,6
3,10
18,12
17,13
14,12
16,12
15,13
17,15
3,1
4,1
2,16
3,16
2,17
2,15
1,15
1,7
1,9
4,12
4,6
14,1
16,3
3,7
14,2
12,1
13,1
16,4
15,0
1,6
2,7
2,9
7,1
5,3
10,16
8,18
9,2
11,16
9,18
1,17
10,17
9,6
10,6
17,17
17,16
8,2
15,17
0,7
1,8
15,4
14,3
18,4
17,4
17,3
0,12
3,9
3,11
4,18
16,18
13,15
3,18
14,0
5,0
10,0
18,3
16,5
10,18
10,15
8,17
9,17
4,17
7,14
0,11
0,9
18,8
18,11
0,14
0,13
6,0
4,0
0,6
9,1
6,4
12,18
6,17
5,17
1,4
4,7
15,1
11,0
12,0
6,2
16,8
1,2
10,1
17,18
18,6
18,9
7,0
0,0
9,0
8,0
0,2
18,16
0,3
0,5
17,0
15,2
1,0
18,17
18,15
15,6
17,8
6,9
4,9
17,7
15,5
0,18
18,0
6,18
5,18
16,17
15,16
18,18
11,6
15,18
17,11
14,18
11,18
8,10
1,10
1,11
0,17
18,1
0,1
1,18
11,4
11,5
8,1
10,3
2,0
18,2
16,0
0,16
2,18
1,1
0,15
11,17
1,5
3,15
6,15
3,0
17,1
15,11
7,8
16,1
17,2
2,1
1,16
13,0
18,14
0,4
18,10
18,5
0,8
13,18
18,7
18,13
0,10
7,18
1,3
3,17
9,9
2,2
16,2
17,10
12,7
12,17
17,5
6,1
1,12
7,17
14,17
5,1
1,14
5,8
8,11
5,7
5,10
3,2
12,16
10,2
2,5
6,16
2,6
16,10
9,16
16,13
2,8
2,14
7,2
8,16
5,2
16,6
11,12
12,12
15,3
3,5
13,3
8,15
9,15
8,3
9,3
3,12
5,13
